entry_time,exit_time,strategy,action,stake,score_at_entry,profit,equity_after,win
2025-09-03 20:05:03,2025-09-03 20:15:03,UT-BOT2-10,Buy,100,7.400000000000001,80.0,2080.0,True
2025-09-03 20:38:03,2025-09-03 20:48:03,UT-BOT2-10,Sell,100,6.3,-100.0,1980.0,False
2025-09-03 20:42:03,2025-09-03 20:52:03,UT-BOT2-10,Buy,100,7.400000000000001,80.0,2060.0,True
2025-09-04 18:49:02,2025-09-04 18:59:02,UT-BOT2-10,Sell,10,5.0,8.0,2068.0,True
2025-09-06 19:06:04,2025-09-06 19:16:04,MWP-20,Buy,10,5.116666666666667,8.0,2076.0,True
2025-09-06 19:27:03,2025-09-06 19:37:03,UT-BOT2-10,Sell,10,5.6499999999999995,8.0,2084.0,True
2025-09-06 19:28:05,2025-09-06 19:38:05,MWP-20,Sell,10,5.949999999999999,8.0,2092.0,True
2025-09-06 19:45:04,2025-09-06 19:55:04,MWP-20,Buy,10,5.116666666666667,8.0,2100.0,True
2025-09-06 19:55:03,2025-09-06 20:05:03,MWP-20,Sell,10,5.949999999999999,-10.0,2090.0,False
2025-09-06 19:56:03,2025-09-06 20:06:03,MWP-25,Sell,100,7.250000000000001,-100.0,1990.0,False
2025-09-06 19:56:03,2025-09-06 20:06:03,UT-BOT2-10,Sell,10,5.6499999999999995,-10.0,1980.0,False
2025-09-07 06:10:03,2025-09-07 06:20:03,UT-BOT2-10,Buy,10,5.0,8.0,1988.0,True
2025-09-07 21:42:03,2025-09-07 21:52:03,UT-BOT2-10,Buy,10,5.0,-10.0,1978.0,False
2025-09-07 22:47:03,2025-09-07 22:57:03,Range FRAMA3-99,Sell,10,5.0,8.0,1986.0,True
2025-09-09 08:13:03,2025-09-09 08:23:03,UT-BOT2-10,Sell,10,5.0,8.0,1994.0,True
2025-09-10 06:12:04,2025-09-10 06:22:04,UT-BOT2-10,Buy,10,5.0,-10.0,1984.0,False
2025-09-10 06:39:03,2025-09-10 06:49:03,UT-BOT2-10,Buy,10,5.0,8.0,1992.0,True
2025-09-12 18:38:03,2025-09-12 18:48:03,UT-BOT2-10,Sell,10,5.0,8.0,2000.0,True
2025-09-12 21:20:05,2025-09-12 21:30:05,Range FRAMA3-99,Buy,10,5.0,-10.0,1990.0,False
2025-09-13 18:55:04,2025-09-13 19:05:04,UT-BOT2-10,Sell,10,5.800000000000001,8.0,1998.0,True
2025-09-14 15:21:04,2025-09-14 15:31:04,UT-BOT2-10,Buy,10,5.0,8.0,2006.0,True
2025-09-14 23:04:03,2025-09-14 23:14:03,UT-BOT2-10,Buy,100,6.7,80.0,2086.0,True
2025-09-14 23:13:03,2025-09-14 23:23:03,UT-BOT2-10,Sell,100,6.7,-100.0,1986.0,False
2025-09-14 23:23:03,2025-09-14 23:33:03,UT-BOT2-10,Buy,100,6.7,80.0,2066.0,True
2025-09-14 23:50:04,2025-09-15 00:00:04,UT-BOT2-10,Sell,100,6.7,-100.0,1966.0,False
2025-09-15 19:23:05,2025-09-15 19:33:05,UT-BOT2-10,Buy,10,5.0,-10.0,1956.0,False
2025-09-16 00:22:03,2025-09-16 00:32:03,UT-BOT2-10,Sell,10,5.0,-10.0,1946.0,False
2025-09-16 15:52:05,2025-09-16 16:02:05,UT-BOT2-10,Buy,10,5.0,-10.0,1936.0,False
2025-09-18 20:08:03,2025-09-18 20:18:03,UT-BOT2-10,Buy,250,8.7,200.0,2136.0,True
2025-09-18 20:42:04,2025-09-18 20:52:04,UT-BOT2-10,Sell,10,4.7,8.0,2144.0,True
2025-09-18 20:52:04,2025-09-18 21:02:04,UT-BOT2-10,Buy,250,8.7,200.0,2344.0,True
2025-09-19 00:26:03,2025-09-19 00:36:03,UT-BOT2-10,Sell,10,5.0,8.0,2352.0,True
2025-09-19 14:00:07,2025-09-19 14:10:07,UT-BOT2-10,Sell,100,7.900000000000001,-100.0,2252.0,False
2025-09-19 14:02:03,2025-09-19 14:12:03,UT-BOT2-10,Buy,10,5.300000000000001,-10.0,2242.0,False
2025-09-20 09:23:03,2025-09-20 09:33:03,SuperTrend9,Buy,10,5.0,-10.0,2232.0,False
2025-09-20 11:22:03,2025-09-20 11:32:03,SuperTrend9,Sell,10,5.4,8.0,2240.0,True
2025-09-20 11:36:03,2025-09-20 11:46:03,SuperTrend9,Buy,100,7.200000000000001,80.0,2320.0,True
2025-09-20 11:56:04,2025-09-20 12:06:04,SuperTrend9,Sell,10,5.4,8.0,2328.0,True
2025-09-20 21:09:04,2025-09-20 21:19:04,SuperTrend9,Sell,10,5.0,8.0,2336.0,True
2025-09-20 21:57:05,2025-09-20 22:07:05,SuperTrend9,Sell,10,5.0,-10.0,2326.0,False
2025-09-20 23:29:03,2025-09-20 23:39:03,SuperTrend9,Buy,10,5.0,8.0,2334.0,True
